Year,State,Key,Region name,Active participants,Poppulation,Normalised Active Participants
2019,ACT,801,Australian Capital Territory,7257,412025,176
2019,NSW,119,Sydney - Inner South West,6789,611111,111
2019,NSW,125,Sydney - Parramatta,5997,481486,125
2019,NSW,127,Sydney - South West,6115,433039,141
2019,NSW,121,Sydney - North Sydney and Hornsby,3333,431365,77
2019,NSW,111,Newcastle and Lake Macquarie,9204,372516,247
2019,NSW,116,Sydney - Blacktown,5621,360420,156
2019,NSW,117,Sydney - City and Inner South,2558,349046,73
2019,NSW,102,Central Coast,6609,339442,195
2019,NSW,124,Sydney - Outer West and Blue Mountains,6066,319258,190
2019,NSW,120,Sydney - Inner West,2557,314231,81
2019,NSW,107,Illawarra,4709,306795,153
2019,NSW,118,Sydney - Eastern Suburbs,2014,289775,70
2019,NSW,123,Sydney - Outer South West,5040,276174,182
2019,NSW,106,Hunter Valley exc Newcastle,6389,272630,234
2019,NSW,122,Sydney - Northern Beaches,2331,268870,87
2019,NSW,112,Richmond - Tweed,4413,248630,177
2019,NSW,115,Sydney - Baulkham Hills and Hawkesbury,2503,241029,104
2019,NSW,128,Sydney - Sutherland,2409,227146,106
2019,NSW,101,Capital Region,3759,225797,166
2019,NSW,108,Mid North Coast,4565,218360,209
2019,NSW,103,Central West,3480,211356,165
2019,NSW,126,Sydney - Ryde,2067,194527,106
2019,NSW,110,New England and North West,3148,186305,169
2019,NSW,113,Riverina,2649,160156,165
2019,NSW,114,Southern Highlands and Shoalhaven,2737,152584,179
2019,NSW,104,Coffs Harbour - Grafton,2483,140150,177
2019,NSW,109,Murray,2057,118977,173
2019,NSW,105,Far West and Orana,1970,116761,169
2019,NT,702,Northern Territory - Outback,1215,98598,123
2019,NT,701,Darwin,1603,148919,108
2019,QLD,315,Queensland - Outback,680,82186,83
2019,QLD,309,Gold Coast,5848,606073,96
2019,QLD,316,Sunshine Coast,3905,365764,107
2019,QLD,303,Brisbane - South,3411,363783,94
2019,QLD,310,Ipswich,5924,342444,173
2019,QLD,311,Logan - Beaudesert,4108,335006,123
2019,QLD,319,Wide Bay,5382,294337,183
2019,QLD,305,Brisbane Inner City,2003,273624,73
2019,QLD,306,Cairns,2733,249671,109
2019,QLD,313,Moreton Bay - North,3425,247397,138
2019,QLD,318,Townsville,4268,235634,181
2019,QLD,301,Brisbane - East,2756,234582,117
2019,QLD,308,Central Queensland,3477,225302,154
2019,QLD,302,Brisbane - North,2385,218454,109
2019,QLD,314,Moreton Bay - South,2275,207827,109
2019,QLD,304,Brisbane - West,1696,189400,90
2019,QLD,312,Mackay - Isaac - Whitsunday,2380,172557,138
2019,QLD,317,Toowoomba,3131,154805,202
2019,QLD,307,Darling Downs - Maranoa,1782,128783,138
2019,SA,406,South Australia - Outback,1298,85127,152
2019,SA,402,Adelaide - North,10140,434336,233
2019,SA,403,Adelaide - South,6715,365104,184
2019,SA,401,Adelaide - Central and Hills,3812,300017,127
2019,SA,404,Adelaide - West,3984,234981,170
2019,SA,407,South Australia - South East,3177,190793,167
2019,SA,405,Barossa - Yorke - Mid North,2006,113565,177
2019,TAS,603,South East,371,38062,97
2019,TAS,601,Hobart,3280,229260,143
2019,TAS,602,Launceston and North East,2121,143815,147
2019,TAS,604,West and North West,1907,111273,171
2019,VIC,212,Melbourne - South East,9935,818212,121
2019,VIC,213,Melbourne - West,10322,791104,130
2019,VIC,206,Melbourne - Inner,5337,658882,81
2019,VIC,209,Melbourne - North East,8284,533165,155
2019,VIC,211,Melbourne - Outer East,8163,525721,155
2019,VIC,208,Melbourne - Inner South,4082,432935,94
2019,VIC,210,Melbourne - North West,6091,393316,155
2019,VIC,207,Melbourne - Inner East,3962,386041,103
2019,VIC,214,Mornington Peninsula,4539,304552,149
2019,VIC,203,Geelong,7502,293975,255
2019,VIC,205,Latrobe - Gippsland,5099,279310,183
2019,VIC,204,Hume,3166,174580,181
2019,VIC,201,Ballarat,3322,162339,205
2019,VIC,202,Bendigo,3434,157806,218
2019,VIC,215,North West,2643,152073,174
2019,VIC,216,Shepparton,2300,132892,173
2019,VIC,217,Warrnambool and South West,2498,124703,200
2019,WA,510,Western Australia - Outback (North),831,97506,85
2019,WA,505,Perth - North West,3824,560831,68
2019,WA,506,Perth - South East,4444,510653,87
2019,WA,507,Perth - South West,4825,423839,114
2019,WA,504,Perth - North East,4228,262253,161
2019,WA,501,Bunbury,2267,181052,125
2019,WA,503,Perth - Inner,758,179755,42
2019,WA,509,Western Australia - Wheat Belt,1044,137641,76
2019,WA,511,Western Australia - Outback (South),719,120092,60