ReportDte,StateCd,SA4Cd2016,SA4Nm2016,PrtcpntCnt
31-Dec-21,ACT,-,Other,0
31-Dec-21,ACT,801,Australian Capital Territory,8966
31-Dec-21,MIS,-,Other,14
31-Dec-21,NSW,-,Other,0
31-Dec-21,NSW,101,Capital Region,4772
31-Dec-21,NSW,102,Central Coast,8799
31-Dec-21,NSW,103,Central West,4794
31-Dec-21,NSW,104,Coffs Harbour - Grafton,3501
31-Dec-21,NSW,105,Far West and Orana,2792
31-Dec-21,NSW,106,Hunter Valley exc Newcastle,8526
31-Dec-21,NSW,107,Illawarra,6465
31-Dec-21,NSW,108,Mid North Coast,6370
31-Dec-21,NSW,109,Murray,2993
31-Dec-21,NSW,110,New England and North West,4119
31-Dec-21,NSW,111,Newcastle and Lake Macquarie,11222
31-Dec-21,NSW,112,Richmond - Tweed,6165
31-Dec-21,NSW,113,Riverina,3485
31-Dec-21,NSW,114,Southern Highlands and Shoalhaven,3485
31-Dec-21,NSW,115,Sydney - Baulkham Hills and Hawkesbury,3411
31-Dec-21,NSW,116,Sydney - Blacktown,8012
31-Dec-21,NSW,117,Sydney - City and Inner South,3518
31-Dec-21,NSW,118,Sydney - Eastern Suburbs,2770
31-Dec-21,NSW,119,Sydney - Inner South West,9306
31-Dec-21,NSW,120,Sydney - Inner West,3456
31-Dec-21,NSW,121,Sydney - North Sydney and Hornsby,4545
31-Dec-21,NSW,122,Sydney - Northern Beaches,3067
31-Dec-21,NSW,123,Sydney - Outer South West,7029
31-Dec-21,NSW,124,Sydney - Outer West and Blue Mountains,8038
31-Dec-21,NSW,125,Sydney - Parramatta,8213
31-Dec-21,NSW,126,Sydney - Ryde,2688
31-Dec-21,NSW,127,Sydney - South West,8745
31-Dec-21,NSW,128,Sydney - Sutherland,3289
31-Dec-21,NT,-,Other,30
31-Dec-21,NT,701,Darwin,2677
31-Dec-21,NT,702,Northern Territory - Outback,1880
31-Dec-21,OT,901,Other Territories,46
31-Dec-21,QLD,-,Other,16
31-Dec-21,QLD,301,Brisbane - East,4720
31-Dec-21,QLD,302,Brisbane - North,3924
31-Dec-21,QLD,303,Brisbane - South,5646
31-Dec-21,QLD,304,Brisbane - West,2867
31-Dec-21,QLD,305,Brisbane Inner City,3343
31-Dec-21,QLD,306,Cairns,4590
31-Dec-21,QLD,307,Darling Downs - Maranoa,2582
31-Dec-21,QLD,308,Central Queensland,5598
31-Dec-21,QLD,309,Gold Coast,10729
31-Dec-21,QLD,310,Ipswich,9033
31-Dec-21,QLD,311,Logan - Beaudesert,7756
31-Dec-21,QLD,312,Mackay - Isaac - Whitsunday,3337
31-Dec-21,QLD,313,Moreton Bay - North,6761
31-Dec-21,QLD,314,Moreton Bay - South,4322
31-Dec-21,QLD,315,Queensland - Outback,1195
31-Dec-21,QLD,316,Sunshine Coast,7390
31-Dec-21,QLD,317,Toowoomba,4206
31-Dec-21,QLD,318,Townsville,5640
31-Dec-21,QLD,319,Wide Bay,8803
31-Dec-21,SA,-,Other,0
31-Dec-21,SA,401,Adelaide - Central and Hills,5463
31-Dec-21,SA,402,Adelaide - North,14302
31-Dec-21,SA,403,Adelaide - South,9527
31-Dec-21,SA,404,Adelaide - West,5578
31-Dec-21,SA,405,Barossa - Yorke - Mid North,2684
31-Dec-21,SA,406,South Australia - Outback,1904
31-Dec-21,SA,407,South Australia - South East,4503
31-Dec-21,TAS,-,Other,0
31-Dec-21,TAS,601,Hobart,4943
31-Dec-21,TAS,602,Launceston and North East,3292
31-Dec-21,TAS,603,South East,593
31-Dec-21,TAS,604,West and North West,2630
31-Dec-21,VIC,-,Other,0
31-Dec-21,VIC,201,Ballarat,4368
31-Dec-21,VIC,202,Bendigo,5028
31-Dec-21,VIC,203,Geelong,9278
31-Dec-21,VIC,204,Hume,4385
31-Dec-21,VIC,205,Latrobe - Gippsland,7391
31-Dec-21,VIC,206,Melbourne - Inner,7959
31-Dec-21,VIC,207,Melbourne - Inner East,5410
31-Dec-21,VIC,208,Melbourne - Inner South,6266
31-Dec-21,VIC,209,Melbourne - North East,11208
31-Dec-21,VIC,210,Melbourne - North West,9626
31-Dec-21,VIC,211,Melbourne - Outer East,11260
31-Dec-21,VIC,212,Melbourne - South East,15716
31-Dec-21,VIC,213,Melbourne - West,18093
31-Dec-21,VIC,214,Mornington Peninsula,7325
31-Dec-21,VIC,215,North West,3812
31-Dec-21,VIC,216,Shepparton,3456
31-Dec-21,VIC,217,Warrnambool and South West,3276
31-Dec-21,WA,-,Other,0
31-Dec-21,WA,501,Bunbury,3665
31-Dec-21,WA,502,Mandurah,1896
31-Dec-21,WA,503,Perth - Inner,2070
31-Dec-21,WA,504,Perth - North East,5718
31-Dec-21,WA,505,Perth - North West,8578
31-Dec-21,WA,506,Perth - South East,8851
31-Dec-21,WA,507,Perth - South West,7520
31-Dec-21,WA,509,Western Australia - Wheat Belt,2085
31-Dec-21,WA,510,Western Australia - Outback (North),1362
31-Dec-21,WA,511,Western Australia - Outback (South),1725
30-Sep-21,ACT,-,Other,0
30-Sep-21,ACT,801,Australian Capital Territory,8826
30-Sep-21,MIS,-,Other,0
30-Sep-21,NSW,-,Other,0
30-Sep-21,NSW,101,Capital Region,4661
30-Sep-21,NSW,102,Central Coast,8582
30-Sep-21,NSW,103,Central West,4652
30-Sep-21,NSW,104,Coffs Harbour - Grafton,3394
30-Sep-21,NSW,105,Far West and Orana,2692
30-Sep-21,NSW,106,Hunter Valley exc Newcastle,8264
30-Sep-21,NSW,107,Illawarra,6286
30-Sep-21,NSW,108,Mid North Coast,6186
30-Sep-21,NSW,109,Murray,2903
30-Sep-21,NSW,110,New England and North West,4023
30-Sep-21,NSW,111,Newcastle and Lake Macquarie,11073
30-Sep-21,NSW,112,Richmond - Tweed,5965
30-Sep-21,NSW,113,Riverina,3418
30-Sep-21,NSW,114,Southern Highlands and Shoalhaven,3427
30-Sep-21,NSW,115,Sydney - Baulkham Hills and Hawkesbury,3308
30-Sep-21,NSW,116,Sydney - Blacktown,7798
30-Sep-21,NSW,117,Sydney - City and Inner South,3418
30-Sep-21,NSW,118,Sydney - Eastern Suburbs,2695
30-Sep-21,NSW,119,Sydney - Inner South West,9087
30-Sep-21,NSW,120,Sydney - Inner West,3379
30-Sep-21,NSW,121,Sydney - North Sydney and Hornsby,4412
30-Sep-21,NSW,122,Sydney - Northern Beaches,2990
30-Sep-21,NSW,123,Sydney - Outer South West,6841
30-Sep-21,NSW,124,Sydney - Outer West and Blue Mountains,7871
30-Sep-21,NSW,125,Sydney - Parramatta,8033
30-Sep-21,NSW,126,Sydney - Ryde,2636
30-Sep-21,NSW,127,Sydney - South West,8495
30-Sep-21,NSW,128,Sydney - Sutherland,3205
30-Sep-21,NT,-,Other,15
30-Sep-21,NT,701,Darwin,2553
30-Sep-21,NT,702,Northern Territory - Outback,1791
30-Sep-21,OT,901,Other Territories,42
30-Sep-21,QLD,-,Other,17
30-Sep-21,QLD,301,Brisbane - East,4459
30-Sep-21,QLD,302,Brisbane - North,3741
30-Sep-21,QLD,303,Brisbane - South,5367
30-Sep-21,QLD,304,Brisbane - West,2765
30-Sep-21,QLD,305,Brisbane Inner City,3171
30-Sep-21,QLD,306,Cairns,4372
30-Sep-21,QLD,307,Darling Downs - Maranoa,2475
30-Sep-21,QLD,308,Central Queensland,5321
30-Sep-21,QLD,309,Gold Coast,10230
30-Sep-21,QLD,310,Ipswich,8627
30-Sep-21,QLD,311,Logan - Beaudesert,7227
30-Sep-21,QLD,312,Mackay - Isaac - Whitsunday,3195
30-Sep-21,QLD,313,Moreton Bay - North,6358
30-Sep-21,QLD,314,Moreton Bay - South,4051
30-Sep-21,QLD,315,Queensland - Outback,1122
30-Sep-21,QLD,316,Sunshine Coast,7005
30-Sep-21,QLD,317,Toowoomba,4061
30-Sep-21,QLD,318,Townsville,5517
30-Sep-21,QLD,319,Wide Bay,8394
30-Sep-21,SA,401,Adelaide - Central and Hills,5258
30-Sep-21,SA,402,Adelaide - North,13771
30-Sep-21,SA,403,Adelaide - South,9259
30-Sep-21,SA,404,Adelaide - West,5400
30-Sep-21,SA,405,Barossa - Yorke - Mid North,2585
30-Sep-21,SA,406,South Australia - Outback,1831
30-Sep-21,SA,407,South Australia - South East,4362
30-Sep-21,TAS,-,Other,0
30-Sep-21,TAS,601,Hobart,4774
30-Sep-21,TAS,602,Launceston and North East,3176
30-Sep-21,TAS,603,South East,560
30-Sep-21,TAS,604,West and North West,2569
30-Sep-21,VIC,-,Other,0
30-Sep-21,VIC,201,Ballarat,4257
30-Sep-21,VIC,202,Bendigo,4885
30-Sep-21,VIC,203,Geelong,9082
30-Sep-21,VIC,204,Hume,4264
30-Sep-21,VIC,205,Latrobe - Gippsland,7161
30-Sep-21,VIC,206,Melbourne - Inner,7648
30-Sep-21,VIC,207,Melbourne - Inner East,5261
30-Sep-21,VIC,208,Melbourne - Inner South,6002
30-Sep-21,VIC,209,Melbourne - North East,10872
30-Sep-21,VIC,210,Melbourne - North West,9158
30-Sep-21,VIC,211,Melbourne - Outer East,10919
30-Sep-21,VIC,212,Melbourne - South East,15074
30-Sep-21,VIC,213,Melbourne - West,17164
30-Sep-21,VIC,214,Mornington Peninsula,7081
30-Sep-21,VIC,215,North West,3723
30-Sep-21,VIC,216,Shepparton,3362
30-Sep-21,VIC,217,Warrnambool and South West,3167
30-Sep-21,WA,-,Other,0
30-Sep-21,WA,501,Bunbury,3523
30-Sep-21,WA,502,Mandurah,1822
30-Sep-21,WA,503,Perth - Inner,1972
30-Sep-21,WA,504,Perth - North East,5517
30-Sep-21,WA,505,Perth - North West,8204
30-Sep-21,WA,506,Perth - South East,8474
30-Sep-21,WA,507,Perth - South West,7238
30-Sep-21,WA,509,Western Australia - Wheat Belt,2013
30-Sep-21,WA,510,Western Australia - Outback (North),1303
30-Sep-21,WA,511,Western Australia - Outback (South),1587
30-Jun-21,ACT,-,Other,0
30-Jun-21,ACT,801,Australian Capital Territory,8581
30-Jun-21,MIS,-,Other,21
30-Jun-21,NSW,-,Other,74
30-Jun-21,NSW,101,Capital Region,4546
30-Jun-21,NSW,102,Central Coast,8305
30-Jun-21,NSW,103,Central West,4469
30-Jun-21,NSW,104,Coffs Harbour - Grafton,3276
30-Jun-21,NSW,105,Far West and Orana,2598
30-Jun-21,NSW,106,Hunter Valley exc Newcastle,7994
30-Jun-21,NSW,107,Illawarra,6137
30-Jun-21,NSW,108,Mid North Coast,5976
30-Jun-21,NSW,109,Murray,2810
30-Jun-21,NSW,110,New England and North West,3897
30-Jun-21,NSW,111,Newcastle and Lake Macquarie,10783
30-Jun-21,NSW,112,Richmond - Tweed,5760
30-Jun-21,NSW,113,Riverina,3324
30-Jun-21,NSW,114,Southern Highlands and Shoalhaven,3319
30-Jun-21,NSW,115,Sydney - Baulkham Hills and Hawkesbury,3217
30-Jun-21,NSW,116,Sydney - Blacktown,7462
30-Jun-21,NSW,117,Sydney - City and Inner South,3297
30-Jun-21,NSW,118,Sydney - Eastern Suburbs,2597
30-Jun-21,NSW,119,Sydney - Inner South West,8794
30-Jun-21,NSW,120,Sydney - Inner West,3282
30-Jun-21,NSW,121,Sydney - North Sydney and Hornsby,4249
30-Jun-21,NSW,122,Sydney - Northern Beaches,2908
30-Jun-21,NSW,123,Sydney - Outer South West,6567
30-Jun-21,NSW,124,Sydney - Outer West and Blue Mountains,7655
30-Jun-21,NSW,125,Sydney - Parramatta,7756
30-Jun-21,NSW,126,Sydney - Ryde,2555
30-Jun-21,NSW,127,Sydney - South West,8172
30-Jun-21,NSW,128,Sydney - Sutherland,3111
30-Jun-21,NT,-,Other,18
30-Jun-21,NT,701,Darwin,2449
30-Jun-21,NT,702,Northern Territory - Outback,1729
30-Jun-21,OT,901,Other Territories,41
30-Jun-21,QLD,-,Other,66
30-Jun-21,QLD,301,Brisbane - East,4245
30-Jun-21,QLD,302,Brisbane - North,3546
30-Jun-21,QLD,303,Brisbane - South,5119
30-Jun-21,QLD,304,Brisbane - West,2604
30-Jun-21,QLD,305,Brisbane Inner City,3008
30-Jun-21,QLD,306,Cairns,4157
30-Jun-21,QLD,307,Darling Downs - Maranoa,2383
30-Jun-21,QLD,308,Central Queensland,5056
30-Jun-21,QLD,309,Gold Coast,9719
30-Jun-21,QLD,310,Ipswich,8249
30-Jun-21,QLD,311,Logan - Beaudesert,6762
30-Jun-21,QLD,312,Mackay - Isaac - Whitsunday,3108
30-Jun-21,QLD,313,Moreton Bay - North,5970
30-Jun-21,QLD,314,Moreton Bay - South,3801
30-Jun-21,QLD,315,Queensland - Outback,1027
30-Jun-21,QLD,316,Sunshine Coast,6645
30-Jun-21,QLD,317,Toowoomba,3940
30-Jun-21,QLD,318,Townsville,5328
30-Jun-21,QLD,319,Wide Bay,8009
30-Jun-21,SA,-,Other,13
30-Jun-21,SA,401,Adelaide - Central and Hills,5069
30-Jun-21,SA,402,Adelaide - North,13259
30-Jun-21,SA,403,Adelaide - South,8986
30-Jun-21,SA,404,Adelaide - West,5217
30-Jun-21,SA,405,Barossa - Yorke - Mid North,2512
30-Jun-21,SA,406,South Australia - Outback,1777
30-Jun-21,SA,407,South Australia - South East,4201
30-Jun-21,TAS,-,Other,0
30-Jun-21,TAS,601,Hobart,4570
30-Jun-21,TAS,602,Launceston and North East,3049
30-Jun-21,TAS,603,South East,533
30-Jun-21,TAS,604,West and North West,2503
30-Jun-21,VIC,-,Other,47
30-Jun-21,VIC,201,Ballarat,4147
30-Jun-21,VIC,202,Bendigo,4723
30-Jun-21,VIC,203,Geelong,8881
30-Jun-21,VIC,204,Hume,4134
30-Jun-21,VIC,205,Latrobe - Gippsland,6957
30-Jun-21,VIC,206,Melbourne - Inner,7371
30-Jun-21,VIC,207,Melbourne - Inner East,5114
30-Jun-21,VIC,208,Melbourne - Inner South,5755
30-Jun-21,VIC,209,Melbourne - North East,10525
30-Jun-21,VIC,210,Melbourne - North West,8736
30-Jun-21,VIC,211,Melbourne - Outer East,10603
30-Jun-21,VIC,212,Melbourne - South East,14482
30-Jun-21,VIC,213,Melbourne - West,16258
30-Jun-21,VIC,214,Mornington Peninsula,6754
30-Jun-21,VIC,215,North West,3621
30-Jun-21,VIC,216,Shepparton,3302
30-Jun-21,VIC,217,Warrnambool and South West,3091
30-Jun-21,WA,-,Other,21
30-Jun-21,WA,501,Bunbury,3379
30-Jun-21,WA,502,Mandurah,1743
30-Jun-21,WA,503,Perth - Inner,1871
30-Jun-21,WA,504,Perth - North East,5355
30-Jun-21,WA,505,Perth - North West,7853
30-Jun-21,WA,506,Perth - South East,8087
30-Jun-21,WA,507,Perth - South West,6919
30-Jun-21,WA,509,Western Australia - Wheat Belt,1949
30-Jun-21,WA,510,Western Australia - Outback (North),1253
30-Jun-21,WA,511,Western Australia - Outback (South),1521
31-Mar-21,ACT,-,Other,0
31-Mar-21,ACT,801,Australian Capital Territory,8380
31-Mar-21,MIS,-,Other,0
31-Mar-21,NSW,-,Other,50
31-Mar-21,NSW,101,Capital Region,4461
31-Mar-21,NSW,102,Central Coast,8094
31-Mar-21,NSW,103,Central West,4332
31-Mar-21,NSW,104,Coffs Harbour - Grafton,3151
31-Mar-21,NSW,105,Far West and Orana,2491
31-Mar-21,NSW,106,Hunter Valley exc Newcastle,7787
31-Mar-21,NSW,107,Illawarra,5935
31-Mar-21,NSW,108,Mid North Coast,5772
31-Mar-21,NSW,109,Murray,2706
31-Mar-21,NSW,110,New England and North West,3753
31-Mar-21,NSW,111,Newcastle and Lake Macquarie,10516
31-Mar-21,NSW,112,Richmond - Tweed,5576
31-Mar-21,NSW,113,Riverina,3239
31-Mar-21,NSW,114,Southern Highlands and Shoalhaven,3250
31-Mar-21,NSW,115,Sydney - Baulkham Hills and Hawkesbury,3101
31-Mar-21,NSW,116,Sydney - Blacktown,7165
31-Mar-21,NSW,117,Sydney - City and Inner South,3171
31-Mar-21,NSW,118,Sydney - Eastern Suburbs,2511
31-Mar-21,NSW,119,Sydney - Inner South West,8512
31-Mar-21,NSW,120,Sydney - Inner West,3164
31-Mar-21,NSW,121,Sydney - North Sydney and Hornsby,4135
31-Mar-21,NSW,122,Sydney - Northern Beaches,2822
31-Mar-21,NSW,123,Sydney - Outer South West,6295
31-Mar-21,NSW,124,Sydney - Outer West and Blue Mountains,7454
31-Mar-21,NSW,125,Sydney - Parramatta,7454
31-Mar-21,NSW,126,Sydney - Ryde,2487
31-Mar-21,NSW,127,Sydney - South West,7849
31-Mar-21,NSW,128,Sydney - Sutherland,2988
31-Mar-21,NT,-,Other,13
31-Mar-21,NT,701,Darwin,2327
31-Mar-21,NT,702,Northern Territory - Outback,1651
31-Mar-21,OT,901,Other Territories,37
31-Mar-21,QLD,-,Other,53
31-Mar-21,QLD,301,Brisbane - East,4064
31-Mar-21,QLD,302,Brisbane - North,3434
31-Mar-21,QLD,303,Brisbane - South,4886
31-Mar-21,QLD,304,Brisbane - West,2501
31-Mar-21,QLD,305,Brisbane Inner City,2860
31-Mar-21,QLD,306,Cairns,3955
31-Mar-21,QLD,307,Darling Downs - Maranoa,2265
31-Mar-21,QLD,308,Central Queensland,4803
31-Mar-21,QLD,309,Gold Coast,9246
31-Mar-21,QLD,310,Ipswich,7932
31-Mar-21,QLD,311,Logan - Beaudesert,6390
31-Mar-21,QLD,312,Mackay - Isaac - Whitsunday,2992
31-Mar-21,QLD,313,Moreton Bay - North,5659
31-Mar-21,QLD,314,Moreton Bay - South,3585
31-Mar-21,QLD,315,Queensland - Outback,984
31-Mar-21,QLD,316,Sunshine Coast,6345
31-Mar-21,QLD,317,Toowoomba,3813
31-Mar-21,QLD,318,Townsville,5148
31-Mar-21,QLD,319,Wide Bay,7719
31-Mar-21,SA,-,Other,0
31-Mar-21,SA,401,Adelaide - Central and Hills,4886
31-Mar-21,SA,402,Adelaide - North,12850
31-Mar-21,SA,403,Adelaide - South,8664
31-Mar-21,SA,404,Adelaide - West,5023
31-Mar-21,SA,405,Barossa - Yorke - Mid North,2416
31-Mar-21,SA,406,South Australia - Outback,1728
31-Mar-21,SA,407,South Australia - South East,4031
31-Mar-21,TAS,-,Other,0
31-Mar-21,TAS,601,Hobart,4429
31-Mar-21,TAS,602,Launceston and North East,2919
31-Mar-21,TAS,603,South East,504
31-Mar-21,TAS,604,West and North West,2414
31-Mar-21,VIC,-,Other,56
31-Mar-21,VIC,201,Ballarat,4027
31-Mar-21,VIC,202,Bendigo,4573
31-Mar-21,VIC,203,Geelong,8673
31-Mar-21,VIC,204,Hume,4021
31-Mar-21,VIC,205,Latrobe - Gippsland,6742
31-Mar-21,VIC,206,Melbourne - Inner,7060
31-Mar-21,VIC,207,Melbourne - Inner East,4956
31-Mar-21,VIC,208,Melbourne - Inner South,5534
31-Mar-21,VIC,209,Melbourne - North East,10206
31-Mar-21,VIC,210,Melbourne - North West,8454
31-Mar-21,VIC,211,Melbourne - Outer East,10404
31-Mar-21,VIC,212,Melbourne - South East,13965
31-Mar-21,VIC,213,Melbourne - West,15507
31-Mar-21,VIC,214,Mornington Peninsula,6513
31-Mar-21,VIC,215,North West,3500
31-Mar-21,VIC,216,Shepparton,3183
31-Mar-21,VIC,217,Warrnambool and South West,3001
31-Mar-21,WA,-,Other,0
31-Mar-21,WA,501,Bunbury,3269
31-Mar-21,WA,502,Mandurah,1667
31-Mar-21,WA,503,Perth - Inner,1779
31-Mar-21,WA,504,Perth - North East,5219
31-Mar-21,WA,505,Perth - North West,7577
31-Mar-21,WA,506,Perth - South East,7737
31-Mar-21,WA,507,Perth - South West,6714
31-Mar-21,WA,509,Western Australia - Wheat Belt,1874
31-Mar-21,WA,510,Western Australia - Outback (North),1198
31-Mar-21,WA,511,Western Australia - Outback (South),1426